name,formed,dissipated,mph,damage,deaths
1804 New England hurricane,10/04/1804,10/11/1804,110,100K,16
1806 Great Coastal hurricane,08/17/1806,08/25/1806,110,171K,24
1812 Louisiana hurricane,08/15/1812,08/20/1812,115,6M,100
1821 Norfolk and Long Island hurricane,09/01/1821,09/04/1821,130,200K,22
1848 Tampa Bay hurricane,09/23/1848,09/28/1848,130,20K,0
1867 San Narciso hurricane,10/27/1867,10/31/1867,125,1M,811
1875 Indianola hurricane,09/08/1875,09/18/1875,115,4M,800
Gale of 1878,10/18/1878,10/23/1878,105,2M,71
1886 Indianola hurricane,08/12/1886,08/21/1886,150,200K,74
1887 Halloween tropical storm,10/29/1887,11/06/1887,70,7K,2
1891 Martinique hurricane,08/18/1891,08/25/1891,125,10M,700
1893 Sea Islands hurricane,08/15/1893,09/02/1893,120,1M,2000
1893 Cheniere Caminada hurricane,09/27/1893,10/05/1893,130,5M,2000
1894 Greater Antilles hurricane,09/18/1894,10/01/1894,120,5.09M,227
1896 Cedar Keys hurricane,09/22/1896,09/30/1896,125,338M,202
1896 East Coast hurricane,10/07/1896,10/13/1896,100,500K,4
1898 Windward Islands hurricane,09/05/1898,09/19/1898,110,2.5M,392
1898 Georgia hurricane,09/25/1898,10/06/1898,130,1.5M,179
1899 Carrabelle hurricane,07/28/1899,08/02/1899,100,1M,9
1899 San Ciriaco hurricane,08/03/1899,09/12/1899,150,20M,3855
1900 Galveston hurricane,08/27/1900,09/15/1900,145,1.25B,8000
1901 Louisiana hurricane,08/02/1901,08/18/1901,90,1M,15
1903 Jamaica hurricane,08/06/1903,08/16/1903,120,10M,188
1903 Florida hurricane,09/09/1903,09/16/1903,90,500K,14
1903 New Jersey hurricane,09/12/1903,09/17/1903,100,8M,57
1906 Mississippi hurricane,09/19/1906,09/29/1906,120,19221,134
1906 Florida Keys hurricane,10/08/1906,10/23/1906,120,4.14M,240
1909 Velasco hurricane,07/13/1909,07/22/1909,115,2M,41
1909 Monterrey hurricane,08/20/1909,08/28/1909,120,50M,4000
1909 Grand Isle hurricane,09/13/1909,09/22/1909,120,11M,400
1909 Florida Keys hurricane,10/06/1909,10/13/1909,120,3M,34
1909 Greater Antilles hurricane,11/08/1909,11/14/1909,105,10M,198
1910 Cuba hurricane,10/09/1910,10/23/1910,150,1.25M,116
1912 Jamaica hurricane,11/11/1912,11/22/1912,115,1.5M,105
1915 Galveston hurricane,08/05/1915,08/23/1915,145,30M,405
1915 New Orleans hurricane,09/21/1915,10/01/1915,145,13M,279
1916 Gulf Coast hurricane,06/28/1916,07/10/1916,120,12.5M,34
1916 Charleston hurricane,07/11/1916,07/15/1916,115,22M,84
1916 Texas hurricane,08/12/1916,08/20/1916,130,11.8M,37
1916 Virgin Islands hurricane,10/06/1916,10/15/1916,120,2M,41
1916 Pensacola hurricane,10/09/1916,10/19/1916,110,100K,29
1917 Nueva Gerona hurricane,09/20/1917,09/30/1917,150,2.17M,44
1919 Florida Keys hurricane,09/02/1919,09/16/1919,150,22M,772
1920 Louisiana hurricane,09/16/1920,09/23/1920,100,1.45M,1
1921 Tampa Bay hurricane,10/20/1921,10/30/1921,140,10M,8
1925 Florida tropical storm,11/27/1925,12/01/1925,65,3M,73
1926 Nassau hurricane,07/22/1926,08/02/1926,140,7.85M,287
1926 Louisiana hurricane,08/20/1926,08/27/1926,115,6M,25
1926 Miami hurricane,09/11/1926,09/22/1926,150,100M,539
1927 Nova Scotia hurricane,08/18/1927,08/29/1927,125,1.6M,192
1928 Fort Pierce hurricane,08/03/1928,08/14/1928,105,235K,2
1928 Haiti hurricane,08/07/1928,08/17/1928,90,2M,210
1928 Okeechobee hurricane,09/06/1928,09/21/1928,160,1.7B,4112
1929 Bahamas hurricane,09/22/1929,10/04/1929,155,9.31M,155
1930 San Zenón hurricane,08/29/1930,09/17/1930,155,50M,8000
1931 British Honduras hurricane,09/06/1931,09/13/1931,130,7.5M,2500
1932 Freeport hurricane,08/12/1932,08/15/1932,150,7.5M,40
1932 Florida–Alabama hurricane,08/26/1932,09/04/1932,85,229K,1
1932 San Ciprián hurricane,09/25/1932,10/02/1932,145,35.8M,272
1932 Cuba hurricane,10/30/1932,11/14/1932,175,40M,3103
1933 Trinidad hurricane,06/24/1933,07/08/1933,110,7.2M,35
1933 Florida–Mexico hurricane,07/24/1933,08/05/1933,90,67.8M,39
1933 Chesapeake–Potomac hurricane,08/13/1933,08/28/1933,140,41.2M,47
1933 Cuba–Brownsville hurricane,08/22/1933,09/05/1933,160,27.9M,179
1933 Treasure Coast hurricane,08/31/1933,09/07/1933,140,3M,3
1933 Outer Banks hurricane,09/08/1933,09/22/1933,140,4.75M,24
1933 Tampico hurricane,09/16/1933,09/25/1933,160,5M,184
1933 Cuba–Bahamas hurricane,10/01/1933,10/09/1933,125,1.1M,10
1934 Central America hurricane,06/04/1934,06/21/1934,100,9.46M,506
1935 Labor Day hurricane,08/29/1935,09/10/1935,185,100M,423
1935 Cuba hurricane,09/23/1935,10/02/1935,140,14.5M,52
1935 Jérémie hurricane,10/18/1935,10/27/1935,85,16M,2150
1935 Yankee hurricane,10/30/1935,11/08/1935,105,5.5M,19
1936 Mid,09/08/1936,09/25/1936,120,4.05M,2
1938 New England hurricane,09/09/1938,09/23/1938,160,306M,682
1940 Louisiana hurricane,08/03/1940,08/10/1940,100,10.8M,7
1940 South Carolina hurricane,08/05/1940,08/15/1940,100,13M,50
1940 New England hurricane,08/26/1940,09/03/1940,110,4.05M,7
1941 Texas hurricane,09/16/1941,09/27/1941,125,7.5M,7
1941 Florida hurricane,10/03/1941,10/13/1941,120,675K,10
1942 Matagorda hurricane,08/21/1942,08/31/1942,115,26.5M,8
1942 Belize hurricane,11/05/1942,11/11/1942,110,4M,9
1943 Surprise Hurricane,07/25/1943,07/29/1943,105,17M,19
1944 Great Atlantic hurricane,09/09/1944,09/16/1944,160,100M,400
1944 Cuba–Florida hurricane,10/12/1944,10/24/1944,145,100M,318
1945 Outer Banks hurricane,06/20/1945,07/04/1945,100,75K,1
1945 Texas hurricane,08/24/1945,08/29/1945,115,20.1M,3
1945 Homestead hurricane,09/12/1945,09/20/1945,130,60M,26
1946 Florida hurricane,10/05/1946,10/14/1946,100,5.2M,5
1947 Fort Lauderdale hurricane,09/04/1947,09/20/1947,145,110M,51
1947 Florida–Georgia hurricane,10/09/1947,10/16/1947,105,42.7M,1
1948 Bermuda–Newfoundland hurricane,09/04/1948,09/16/1948,130,400K,8
September 1948 Florida hurricane,09/18/1948,09/26/1948,130,14M,13
1948 Miami hurricane,10/03/1948,10/16/1948,125,12.5M,11
1949 Florida hurricane,08/23/1949,08/31/1949,130,52M,2
1949 Texas hurricane,09/27/1949,10/07/1949,110,6.7M,2
Able,08/12/1950,08/24/1950,125,1.04M,11
Baker,08/18/1950,09/01/1950,105,2.55M,38
Dog,08/30/1950,09/18/1950,145,3M,31
Easy,09/01/1950,09/09/1950,120,3.3M,2
King,10/13/1950,10/20/1950,130,32M,11
Able,05/15/1951,05/24/1951,90,0,0
Charlie,08/12/1951,08/23/1951,130,75M,259
How,09/28/1951,10/08/1951,100,2M,17
1952 Groundhog Day tropical storm,02/03/1952,02/05/1952,70,0,0
Able,08/18/1952,09/02/1952,100,2.75M,3
Fox,10/20/1952,10/28/1952,145,10M,601
Barbara,08/11/1953,08/16/1953,90,1.3M,9
Carol,08/28/1953,09/08/1953,160,2M,5
Florence,09/23/1953,09/26/1953,115,200K,0
Alice,06/24/1954,06/26/1954,110,2M,153
Carol,08/25/1954,09/01/1954,115,462M,72
Edna,09/02/1954,09/15/1954,125,42.8M,29
Hazel,10/05/1954,10/18/1954,130,382M,1191
Alice,12/30/1954,01/06/1955,90,623K,0
Connie,08/03/1955,08/15/1955,140,86M,77
Diane,08/07/1955,08/23/1955,105,832M,184
Ione,09/10/1955,09/21/1955,140,88M,7
Hilda,09/10/1955,09/20/1955,120,120M,304
Janet,09/21/1955,09/30/1955,175,65.8M,1023
Betsy,08/09/1956,08/18/1956,120,50M,37
Flossy,09/20/1956,10/03/1956,90,24.9M,15
Greta,10/30/1956,11/06/1956,100,3.6M,1
Audrey,06/25/1957,06/29/1957,125,150M,431
Ella,08/30/1958,09/06/1958,110,200K,36
Helene,09/21/1958,10/04/1958,150,11.4M,1
Arlene,05/28/1959,05/31/1959,65,500K,1
Cindy,07/05/1959,07/11/1959,75,75K,6
Debra,07/23/1959,07/28/1959,85,7M,0
Gracie,09/20/1959,10/02/1959,140,14M,22
1960 Texas tropical storm,06/22/1960,06/29/1960,60,3.6M,18
Abby,07/10/1960,07/16/1960,80,640K,6
Brenda,07/28/1960,08/01/1960,70,5M,1
Donna,08/29/1960,09/14/1960,145,980M,439
Ethel,09/12/1960,09/17/1960,115,1.5M,1
Anna,07/20/1961,07/24/1961,105,300K,1
Carla,09/03/1961,09/17/1961,145,326M,43
Debbie,09/06/1961,09/19/1961,90,50M,68
Esther,09/10/1961,09/27/1961,160,6M,7
Hattie,10/27/1961,11/01/1961,165,60.3M,319
Alma,08/26/1962,08/30/1962,85,1M,1
Daisy,09/29/1962,10/08/1962,105,1.1M,32
Arlene,07/31/1963,08/11/1963,115,300K,0
Cindy,09/16/1963,09/20/1963,65,12.5M,3
Edith,09/23/1963,09/29/1963,100,46.6M,10
Ginny,10/16/1963,10/29/1963,110,500K,3
Abby,08/05/1964,08/08/1964,70,750K,0
Cleo,08/21/1964,09/05/1964,150,187M,156
Dora,08/28/1964,09/14/1964,130,280M,5
Gladys,09/13/1964,09/24/1964,130,100K,1
Hilda,09/28/1964,10/05/1964,140,126M,38
Isbell,10/08/1964,10/19/1964,115,30M,7
Betsy,08/27/1965,09/13/1965,140,1.42B,81
Debbie,09/24/1965,09/30/1965,60,25M,0
Alma,06/04/1966,06/14/1966,125,210M,93
Inez,09/21/1966,10/11/1966,165,227M,1269
Beulah,09/05/1967,09/22/1967,160,235M,59
Doria,09/08/1967,09/21/1967,100,150K,3
Abby,06/01/1968,06/13/1968,75,450K,6
Gladys,10/13/1968,10/21/1968,100,18.7M,8
Camille,08/14/1969,08/22/1969,175,1.42B,259
Francelia,08/29/1969,09/04/1969,100,35.6M,271
Martha,11/21/1969,11/25/1969,90,30M,5
Becky,07/19/1970,07/23/1970,65,500K,1
Celia,07/31/1970,08/05/1970,140,930M,28
Dorothy,08/17/1970,08/23/1970,70,34M,51
Felice,09/12/1970,09/17/1970,70,0,0
1970 Caribbean–Azores hurricane,09/30/1970,10/22/1970,85,65.5M,22
1970 Canada hurricane,10/12/1970,10/20/1970,105,1K,0
Beth,08/10/1971,08/16/1971,85,5.1M,1
Doria,08/20/1971,08/29/1971,65,148M,7
Fern,09/03/1971,09/13/1971,90,30.2M,2
Edith,09/05/1971,09/18/1971,160,25.4M,37
Ginger,09/10/1971,10/07/1971,110,10M,1
Irene–Olivia,09/11/1971,10/01/1971,115,1M,3
Laura,11/12/1971,11/22/1971,70,0,1
1972 Subtropical Storm Alpha,05/23/1972,05/29/1972,70,100K,2
Agnes,06/14/1972,07/06/1972,85,2.1B,128
Carrie,08/29/1972,09/05/1972,70,12.45M,4
Delia,09/01/1973,09/07/1973,70,6M,2
Fran,10/08/1973,10/12/1973,80,0,0
1974 Subtropical Storm One,06/22/1974,06/27/1974,65,10M,3
Alma,08/12/1974,08/15/1974,65,5M,51
Carmen,08/29/1974,09/10/1974,150,162M,8
1974 Subtropical Storm Four,10/04/1974,10/08/1974,50,600K,0
Amy,06/27/1975,07/04/1975,70,0,1
1975 Tropical Depression Six,07/28/1975,08/01/1975,35,8.8M,3
Eloise,09/13/1975,09/24/1975,125,560M,80
Belle,08/06/1976,08/15/1976,120,100M,3
Anita,08/29/1977,09/04/1977,175,946M,11
Babe,09/03/1977,09/09/1977,75,13M,0
Amelia,07/30/1978,08/01/1978,50,110M,33
Cora,08/07/1978,08/12/1978,90,0,1
Debra,08/26/1978,08/29/1978,60,0,2
Ella,08/30/1978,09/05/1978,140,0,0
Greta–Olivia,09/13/1978,09/23/1978,130,26M,5
1979 Tropical Depression One,06/11/1979,06/16/1979,35,27M,41
Bob,07/09/1979,07/16/1979,75,20M,1
Claudette,07/16/1979,07/29/1979,50,400M,2
David,08/25/1979,09/08/1979,175,1.54B,2078
Frederic,08/29/1979,09/15/1979,130,1.77B,12
Elena,08/29/1979,09/02/1979,40,10M,2
Henri,09/14/1979,09/24/1979,85,0,0
Allen,07/31/1980,08/11/1980,190,1.57B,269
Danielle,09/04/1980,09/07/1980,60,25M,3
Jeanne,11/07/1980,11/16/1980,100,0,0
Karl,11/25/1980,11/29/1980,85,0,0
Arlene,05/06/1981,05/09/1981,60,0,0
Dennis,08/07/1981,08/26/1981,80,28.5M,3
1981 Tropical Depression Eight,08/26/1981,08/19/1981,35,56.2M,5
Katrina,11/03/1982,11/08/1981,85,0,2
Alberto,06/01/1982,06/06/1982,85,85M,23
1982 Florida subtropical storm,06/18/1982,06/22/1982,70,10M,3
Beryl,08/28/1982,09/06/1982,70,3M,3
Chris,09/09/1982,09/13/1982,65,2M,0
Alicia,08/15/1983,08/21/1983,115,3B,21
Barry,08/23/1983,08/29/1983,80,0,0
Diana,09/08/1984,09/16/1984,130,65.5M,3
Fran,09/15/1984,09/20/1984,65,2.8M,32
Isidore,09/25/1984,10/01/1984,60,1M,1
Klaus,11/05/1984,11/16/1984,90,152M,2
Lili,12/12/1984,12/24/1984,80,0,0
Bob,07/21/1985,07/26/1985,75,20M,5
Danny,08/12/1985,08/20/1985,90,100M,5
Elena,08/28/1985,09/04/1985,125,1.3B,9
Gloria,09/16/1985,10/04/1985,145,900M,14
Juan,10/26/1985,11/03/1985,85,1.5B,12
Kate,11/15/1985,11/23/1985,120,700M,15
Bonnie,06/23/1986,06/28/1986,85,42M,5
Charley,08/15/1986,08/30/1986,80,15M,15
Danielle,09/07/1986,09/10/1986,60,10.5M,0
Arlene,08/10/1987,08/23/1987,75,8K,0
Emily,09/20/1987,09/26/1987,125,80.3M,3
Floyd,10/09/1987,10/13/1987,75,500K,1
1987 Tropical Depression Fourteen,10/31/1987,11/04/1987,35,1.8M,6
Beryl,08/08/1988,08/10/1988,50,3M,1
Chris,08/21/1988,08/30/1988,50,2.2M,6
Florence,09/07/1988,09/11/1988,80,2.9M,1
Gilbert,09/08/1988,09/19/1988,185,2.98B,318
Joan–Miriam,10/10/1988,11/02/1988,70,2B,334
Keith,11/17/1988,11/26/1988,70,7.3M,0
Allison,06/24/1989,07/07/1989,50,560M,11
Chantal,07/30/1989,08/03/1989,80,100M,13
Dean,07/31/1989,08/08/1989,105,8.9M,0
Gabrielle,08/30/1989,09/13/1989,145,0,9
Hugo,09/10/1989,09/25/1989,160,11B,67
Jerry,10/12/1989,10/16/1989,85,70M,3
Bertha,07/24/1990,08/02/1990,80,3.91M,9
Diana,08/04/1990,08/09/1990,100,90.7M,139
